S.No.,State /UTs,Subsidized (MW),Non Subsidized,Total (MW)
"",,,(MW),
1,ANDAMAN and NICOBAR ISLANDS,1.00,0.00,1.00
2,ANDHRA PRADESH,41.56,16.98,58.53
3,ARUNACHAL PRADESH,0.00,4.12,4.12
4,ASSAM,10.05,1.68,11.73
5,BIHAR,1.67,1.36,3.02
6,CHANDIGARH,20.66,5.22,25.87
7,CHHATTISGARH,8.69,1.55,10.24
8,DADRA and NAGAR HAVELI,0.00,0.48,0.48
9,DAMAN and DIU,0.00,0.39,0.39
10,GOA,2.44,0.51,2.94
11,GUJARAT,130.73,71.74,202.47
12,HARYANA,37.52,56.19,93.72
13,HIMACHAL PRADESH,3.46,2.22,5.68
14,JAMMU and KASHMIR,5.75,0.59,6.34
15,JHARKHAND,8.98,1.62,10.60
16,KARNATAKA,12.78,107.97,120.75
17,KERALA,20.18,17.97,38.15
18,LAKSHADWEEP,0.00,0.00,0.00
19,MADHYA PRADESH,20.21,13.42,33.62
20,MAHARASHTRA,67.87,118.36,186.24
21,MANIPUR,2.11,1.33,3.44
22,MEGHALAYA,0.04,0.08,0.12
23,MIZORAM,0.30,0.10,0.40
24,NAGALAND,0.00,0.00,0.00
25,NCT OF DELHI,61.30,12.42,73.72
26,ORISSA,9.47,1.69,11.16
27,PUDUCHERRY,0.77,1.00,1.77
28,PUNJAB,22.88,38.72,61.60
29,RAJASTHAN,36.74,58.46,95.20
30,SIKKIM,0.00,0.01,0.01
31,TAMIL NADU,48.51,94.45,142.95
32,TELANGANA,30.31,23.52,53.83
33,TRIPURA,0.00,0.00,0.00
34,UTTAR PRADESH,40.81,42.43,83.23
35,UTTARAKHAND,21.78,45.19,66.96
36,WEST BENGAL,12.67,13.27,25.94
"",Total,681.22,755.04,1436.26
"",,24,,
